Fecha,Proveedor,RFC,Descripción,Cantidad,P. Unitario,Descuento,Impuestos,Total,Categoría,Grupo P&L,Origen,Link de Factura,UUID,Procesado_En
"23 enero, 2026",POLLO INDUSTRIALIZADO DE MEXICO,PIM901016747,PECHUGA S/H IQF K,28.58,$78.00,$0.00,$0.00,"-$2,229.24",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1xEjCCUonESTnTedzbCLC7pjI4cC5DRp2/view?usp=drivesdk,EC7DC106-A1D3-4877-BD48-11D77A4E4C41,2026-01-23 19:49
"25 enero, 2026",SUELDOS,XEXX010101000,NOMINA SEMANA N.4,1,"$17,007.00",$0.00,$0.00,"-$17,007.00",Nómina,Gastos Operativos,Google Forms,,,2026-01-25 16:20
"25 enero, 2026",TIENDAS CHEDRAUI,XEXX010101000,DESPENSA DEL PERSONAL,1,"$1,423.40",$0.00,$0.00,"-$1,423.40",Nómina,Gastos Operativos,Google Forms,,,2026-01-25 16:24
"26 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,MM LIMPBRISA,1,$154.32,$3.47,$24.14,-$174.99,Limpieza,Gastos Operativos,Auto Gmail,https://drive.google.com/file/d/1w6LDdapz_S2z1J36EQ3CuBoM0TIFtKb0/view?usp=drivesdk,EFE5D291-D7F6-4002-87BD-77F450834F75,2026-01-26 13:04
"26 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,2/1.13KG KE,2,$102.30,$4.60,$0.00,-$200.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1w6LDdapz_S2z1J36EQ3CuBoM0TIFtKb0/view?usp=drivesdk,EFE5D291-D7F6-4002-87BD-77F450834F75,2026-01-26 13:04
"26 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,ACEITEVEGETA,1,$356.00,$8.00,$0.00,-$348.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1w6LDdapz_S2z1J36EQ3CuBoM0TIFtKb0/view?usp=drivesdk,EFE5D291-D7F6-4002-87BD-77F450834F75,2026-01-26 13:04
"26 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,MM LAVAPL,2,$86.42,$3.88,$27.03,-$195.99,Limpieza,Gastos Operativos,Auto Gmail,https://drive.google.com/file/d/1w6LDdapz_S2z1J36EQ3CuBoM0TIFtKb0/view?usp=drivesdk,EFE5D291-D7F6-4002-87BD-77F450834F75,2026-01-26 13:04
"26 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,5KGARROZ PRE,1,$162.65,$3.65,$0.00,-$159.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1w6LDdapz_S2z1J36EQ3CuBoM0TIFtKb0/view?usp=drivesdk,EFE5D291-D7F6-4002-87BD-77F450834F75,2026-01-26 13:04
"26 enero, 2026",YUKUNSA,YUK160308FK5,BOLSA  P/ BASURA USO RUDO NEGRA 90X120 BD,2,$32.88,$0.00,$10.52,-$76.27,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
"26 enero, 2026",YUKUNSA,YUK160308FK5,BISAGRA TERMICA BIO BEIGE 7 IN X 7 IN,1,$376.22,$0.00,$60.20,-$436.42,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
